,Unnamed: 0.1,Unnamed: 0,date,time,avgMeasuredTime,vehicleCount,dewptm,hum,pressurem,tempm,wdird,wspdm,POINT_1_STREET,POINT_2_STREET,POINT_1_CITY,POINT_2_CITY,POINT_1_LAT,POINT_2_LAT,POINT_1_LNG,POINT_2_LNG
707,707,707,2014-08-31,0,49.0,2,12.0,86.33333333333333,1012.0,14.0,153.33333333333334,4.366666666666666,Søftenvej,Søftenvej,Aarhus,Aarhus,56.21497892,56.20852027,10.1396957,10.16103839
708,708,708,2014-08-31,1,52.0,3,12.0,87.0,1012.3333333333334,14.0,120.0,3.733333333333333,Søftenvej,Søftenvej,Aarhus,Aarhus,56.21497892,56.20852027,10.1396957,10.16103839
709,709,709,2014-08-31,2,63.0,3,12.0,86.66666666666667,1012.3333333333334,14.0,116.66666666666669,4.366666666666666,Søftenvej,Søftenvej,Aarhus,Aarhus,56.21497892,56.20852027,10.1396957,10.16103839
710,710,710,2014-08-31,3,65.41666666666667,4,12.333333333333334,89.0,1012.3333333333334,14.0,66.66666666666667,4.333333333333333,Søftenvej,Søftenvej,Aarhus,Aarhus,56.21497892,56.20852027,10.1396957,10.16103839
711,711,711,2014-08-31,4,70.0,7,12.333333333333334,87.33333333333333,1012.0,14.0,90.0,3.1,Søftenvej,Søftenvej,Aarhus,Aarhus,56.21497892,56.20852027,10.1396957,10.16103839
712,712,712,2014-08-31,5,65.83333333333333,5,12.666666666666666,91.33333333333331,1012.0,14.0,115.0,2.8,Søftenvej,Søftenvej,Aarhus,Aarhus,56.21497892,56.20852027,10.1396957,10.16103839
713,713,713,2014-08-31,6,69.9,13,12.0,86.66666666666667,1012.0,14.0,80.0,3.1,Søftenvej,Søftenvej,Aarhus,Aarhus,56.21497892,56.20852027,10.1396957,10.16103839
714,714,714,2014-08-31,7,66.25,25,13.0,89.0,1012.3333333333334,14.333333333333334,110.0,4.333333333333333,Søftenvej,Søftenvej,Aarhus,Aarhus,56.21497892,56.20852027,10.1396957,10.16103839
715,715,715,2014-08-31,8,67.58333333333333,34,13.333333333333334,89.33333333333333,1012.6666666666666,14.666666666666666,106.66666666666669,4.333333333333333,Søftenvej,Søftenvej,Aarhus,Aarhus,56.21497892,56.20852027,10.1396957,10.16103839
716,716,716,2014-08-31,9,67.33333333333333,74,14.0,87.0,1013.0,15.666666666666666,100.0,8.666666666666666,Søftenvej,Søftenvej,Aarhus,Aarhus,56.21497892,56.20852027,10.1396957,10.16103839
717,717,717,2014-08-31,10,70.33333333333333,74,13.666666666666666,83.33333333333333,1013.0,16.0,106.66666666666669,15.466666666666669,Søftenvej,Søftenvej,Aarhus,Aarhus,56.21497892,56.20852027,10.1396957,10.16103839
718,718,718,2014-08-31,11,71.66666666666667,40,13.0,80.66666666666667,1013.6666666666666,16.0,93.33333333333331,20.966666666666665,Søftenvej,Søftenvej,Aarhus,Aarhus,56.21497892,56.20852027,10.1396957,10.16103839
